fetched_at,published_at,source,title,link,regions,tags,score
2026-01-15T21:18:06.286667+00:00,2026-01-15T21:18:06.286667+00:00,ReliefWeb - Mali,Carte de Référence - Région de Bandiagara - Nouveau Découpage administratif du Mali (Août 2025),https://reliefweb.int/map/mali/carte-de-reference-region-de-bandiagara-nouveau-decoupage-administratif-du-mali-aout-2025,mali,coup_risk,1.98
2026-01-15T21:18:06.286667+00:00,2026-01-15T21:18:06.286667+00:00,ReliefWeb - Mali,Carte de Référence - Région de Douentza - Nouveau Découpage administratif du Mali (Août 2025),https://reliefweb.int/map/mali/carte-de-reference-region-de-douentza-nouveau-decoupage-administratif-du-mali-aout-2025,mali,coup_risk,1.98
2026-01-15T21:18:06.286667+00:00,2026-01-15T21:18:06.286667+00:00,LeFaso,"Chirurgie laparoscopique : « Ce n'est pas une technique futuriste, c'est vraiment l'actualité, et tout le monde devrait s'y mettre », Pr Gilbert Bonkoungou",https://lefaso.net/spip.php?article143733,"burkina,burkina faso",coup_risk,1.76
2026-01-15T21:18:06.286667+00:00,2026-01-15T21:18:06.286667+00:00,LeFaso,Comment vivre le repos dans votre couple,https://lefaso.net/spip.php?article143739,,coup_risk,1.76
2026-01-15T21:18:06.286667+00:00,2026-01-15T21:18:06.286667+00:00,LeFaso,Participation du Burkina à la CAN Maroc 2025 : La FBF rassure l'opinion nationale qu'elle ne ménagera aucun effort pour tirer toutes les leçons nécessaires,https://lefaso.net/spip.php?article143700,"burkina,burkina faso",coup_risk,1.76
2026-01-15T21:18:06.286667+00:00,2026-01-15T21:18:06.286667+00:00,LeFaso,Alphabétisation : La campagne en langue nationale San officiellement lancée à Toma,https://lefaso.net/spip.php?article143711,,civilian_risk,1.44
2026-01-15T21:18:06.286667+00:00,2026-01-15T21:18:06.286667+00:00,LeFaso,Demi-finales de la CAN Maroc 2025 : Analyses et pronostics de journalistes sportifs burkinabè,https://lefaso.net/spip.php?article143694,burkina,coup_risk,1.76
2026-01-16T13:03:14.035281+00:00,2026-01-16T13:03:14.035281+00:00,LeFaso,Burkina Faso : 127 gendarmes décorés pour services rendus à la nation,https://lefaso.net/spip.php?article143786,"burkina,burkina faso,ouagadougou",civilian_risk,1.44
2026-01-16T15:33:47.064491+00:00,2026-01-16T13:56:59+00:00,Crisis Group,Gulf Tensions Spill into Somalia as Mogadishu Severs UAE Ties,https://www.crisisgroup.org/africa/somalia-somaliland-saudi-arabia-uae/gulf-tensions-spill-somalia-mogadishu-severs-uae-ties,mali,conflict_intensity,1.64
2026-01-16T18:46:29.620489+00:00,2026-01-16T18:35:53+00:00,BBC Africa,Nigerian imam honoured for saving Christian lives dies aged 90,https://www.bbc.com/news/articles/cql4z369zk6o?at_medium=RSS&at_campaign=rss,niger,conflict_intensity,0.84
2026-01-19T02:30:55.049538+00:00,2026-01-19T02:30:55.049538+00:00,ReliefWeb - Mali,Brief: Rising needs in a neglected crisis - Analysing the humanitarian situation in Mali (January 2026),https://reliefweb.int/report/mali/brief-rising-needs-neglected-crisis-analysing-humanitarian-situation-mali-january-2026,mali,conflict_intensity,1.26
2026-01-19T04:16:54.473569+00:00,2026-01-19T04:16:54.473569+00:00,ReliefWeb - Niger,Niger Food Security Outlook Update December 2025: Crisis (IPC Phase 3) outcomes persist in conflict-affected areas,https://reliefweb.int/report/niger/niger-food-security-outlook-update-december-2025-crisis-ipc-phase-3-outcomes-persist-conflict-affected-areas,niger,conflict_intensity,1.26
2026-01-19T11:30:04.023690+00:00,2026-01-19T11:30:04.023690+00:00,ReliefWeb - Mali,UNHCR Mali Situation of refugees from Burkina Faso and Niger (31 December 2025),https://reliefweb.int/report/mali/unhcr-mali-situation-refugees-burkina-faso-and-niger-31-december-2025,"mali,niger,burkina,burkina faso",civilian_risk,1.62
2026-01-19T11:30:04.023690+00:00,2026-01-19T11:30:04.023690+00:00,ReliefWeb - Mali,"Mali situation of refugees, internally displaced persons and returnees (31 December 2025)",https://reliefweb.int/report/mali/mali-situation-refugees-internally-displaced-persons-and-returnees-31-december-2025,mali,civilian_risk,3.24
